Date,Revenue
7/31/2024,$798 
4/30/2024,$882 
1/31/2024,"$1,794 "
10/31/2023,"$1,078 "
7/31/2023,"$1,164 "
4/30/2023,"$1,237 "
1/31/2023,"$2,226 "
10/31/2022,"$1,186 "
7/31/2022,"$1,136 "
4/30/2022,"$1,378 "
1/31/2022,"$2,254 "
10/31/2021,"$1,297 "
7/31/2021,"$1,183 "
4/30/2021,"$1,277 "
1/31/2021,"$2,122 "
10/31/2020,"$1,005 "
7/31/2020,$942 
4/30/2020,"$1,021 "
1/31/2020,"$2,194 "
10/31/2019,"$1,439 "
7/31/2019,"$1,286 "
4/30/2019,"$1,548 "
1/31/2019,"$3,063 "
10/31/2018,"$1,935 "
7/31/2018,"$1,501 "
4/30/2018,"$1,786 "
1/31/2018,"$2,825 "
10/31/2017,"$1,989 "
7/31/2017,"$1,688 "
4/30/2017,"$2,046 "
1/31/2017,"$2,403 "
10/31/2016,"$1,959 "
7/31/2016,"$1,632 "
4/30/2016,"$1,972 "
1/31/2016,"$3,525 "
10/31/2015,"$2,016 "
7/31/2015,"$1,762 "
4/30/2015,"$2,061 "
1/31/2015,"$3,476 "
10/31/2014,"$2,092 "
7/31/2014,"$1,731 "
4/30/2014,"$1,996 "
1/31/2014,"$3,684 "
10/31/2013,"$2,107 "
7/31/2013,"$1,384 "
4/30/2013,"$1,865 "
1/31/2013,"$3,562 "
10/31/2012,"$1,773 "
7/31/2012,"$1,550 "
4/30/2012,"$2,002 "
1/31/2012,"$3,579 "
10/31/2011,"$1,947 "
7/31/2011,"$1,744 "
4/30/2011,"$2,281 "
1/31/2011,"$3,693 "
10/31/2010,"$1,899 "
7/31/2010,"$1,799 "
4/30/2010,"$2,083 "
1/31/2010,"$3,524 "
10/31/2009,"$1,835 "
7/31/2009,"$1,739 "
4/30/2009,"$1,981 "
1/31/2009,"$3,492 "
